date,open,high,low,close,price_change_pct,volume,turnover,year,eps,pe-ratio,roe,dividend
2023-02-06,805.1,831.0,805.1,828.0,1.35,78309.0,64573061.2,2023,39.65,19.8,17.58,30.53
2023-02-07,815.1,839.5,815.1,835.0,0.85,154737.0,129242726.9,2023,39.65,19.8,17.58,30.53
2023-02-08,848.6,852.0,834.0,835.0,0.0,97610.0,81880515.4,2023,39.65,19.8,17.58,30.53
2023-02-09,834.0,841.8,830.0,840.0,0.6,49992.0,41759853.3,2023,39.65,19.8,17.58,30.53
2023-02-12,825.0,835.0,817.0,820.9,-2.27,93577.0,77125437.0,2023,39.65,19.8,17.58,30.53
2023-02-14,817.1,821.0,810.2,815.5,-0.66,84726.0,69070448.3,2023,39.65,19.8,17.58,30.53
2023-02-15,810.1,821.0,810.1,817.0,0.18,57530.0,46905929.6,2023,39.65,19.8,17.58,30.53
2023-02-16,810.0,818.0,810.0,811.5,-0.67,45965.0,37384423.4,2023,39.65,19.8,17.58,30.53
2023-02-20,809.0,819.9,798.0,815.0,0.43,68598.0,55591201.5,2023,39.65,19.8,17.58,30.53
2023-02-22,821.0,821.0,808.0,818.0,0.37,55398.0,45217636.9,2023,39.65,19.8,17.58,30.53
2023-02-23,808.0,815.0,803.4,814.0,-0.49,98136.0,79641532.0,2023,39.65,19.8,17.58,30.53
2023-02-26,810.1,815.0,793.8,810.0,-0.49,98067.0,78667922.7,2023,39.65,19.8,17.58,30.53
2023-02-27,810.0,820.0,801.1,812.0,0.25,62896.0,50828934.7,2023,39.65,19.8,17.58,30.53
2023-02-28,801.0,815.5,801.0,811.5,-0.06,37309.0,30300347.2,2023,39.65,19.8,17.58,30.53
2023-03-01,805.1,815.0,804.1,806.0,-0.68,40211.0,32483338.3,2023,39.65,19.8,17.58,30.53
2023-03-02,806.0,806.0,798.1,800.0,-0.74,54595.0,43729649.1,2023,39.65,19.8,17.58,30.53
2023-03-05,813.0,813.0,792.2,794.0,-0.75,32917.0,26192401.9,2023,39.65,19.8,17.58,30.53
2023-03-07,795.0,801.0,788.0,796.0,0.25,38109.0,30219184.5,2023,39.65,19.8,17.58,30.53
